date,day_of_week,page_loads,unique_visits,first_time_visits,returning_visits
1/5/2015,Monday,3.033,2.062,1.706,356.0
1/6/2015,Tuesday,3.445,2.327,1.942,385.0
1/7/2015,Wednesday,3.423,2.384,1.991,393.0
1/8/2015,Thursday,3.319,2.272,1.922,350.0
1/9/2015,Friday,2.783,1.941,1.663,278.0
1/10/2015,Saturday,1.952,1.24,1.066,174.0
1/11/2015,Sunday,2.245,1.611,1.391,220.0
1/12/2015,Monday,3.928,2.518,2.125,393.0
1/13/2015,Tuesday,3.81,2.621,2.239,382.0
1/14/2015,Wednesday,3.931,2.656,2.229,427.0
1/15/2015,Thursday,3.523,2.457,2.069,388.0
1/16/2015,Friday,2.943,1.928,1.64,288.0
1/17/2015,Saturday,1.751,1.237,1.052,185.0
1/18/2015,Sunday,2.491,1.762,1.541,221.0
1/19/2015,Monday,3.766,2.665,2.271,394.0
1/20/2015,Tuesday,4.194,2.852,2.423,429.0
1/21/2015,Wednesday,4.038,2.916,2.482,434.0
1/22/2015,Thursday,3.891,2.702,2.334,368.0
1/23/2015,Friday,3.111,2.181,1.897,284.0
1/24/2015,Saturday,1.946,1.414,1.239,175.0
1/25/2015,Sunday,2.802,2.01,1.74,270.0
1/26/2015,Monday,3.892,2.841,2.466,375.0
1/27/2015,Tuesday,4.172,3.003,2.592,411.0
1/28/2015,Wednesday,4.464,3.28,2.862,418.0
1/29/2015,Thursday,4.377,3.143,2.679,464.0
1/30/2015,Friday,3.734,2.514,2.129,385.0
1/31/2015,Saturday,2.262,1.657,1.443,214.0
2/1/2015,Sunday,3.05,2.122,1.825,297.0
2/2/2015,Monday,4.794,3.366,2.867,499.0
2/3/2015,Tuesday,4.936,3.423,2.922,501.0
2/4/2015,Wednesday,5.016,3.5,3.023,477.0
2/5/2015,Thursday,4.489,3.17,2.753,417.0
2/6/2015,Friday,3.505,2.468,2.075,393.0
2/7/2015,Saturday,2.264,1.679,1.437,242.0
2/8/2015,Sunday,3.314,2.435,2.1,335.0
2/9/2015,Monday,5.095,3.619,3.125,494.0
2/10/2015,Tuesday,5.525,3.793,3.272,521.0
2/11/2015,Wednesday,5.074,3.689,3.19,499.0
2/12/2015,Thursday,4.571,3.319,2.81,509.0
2/13/2015,Friday,3.57,2.664,2.253,411.0
2/14/2015,Saturday,2.182,1.565,1.323,242.0
2/15/2015,Sunday,3.265,2.277,1.935,342.0
2/16/2015,Monday,4.67,3.297,2.826,471.0
2/17/2015,Tuesday,4.764,3.452,2.957,495.0
2/18/2015,Wednesday,4.943,3.526,3.026,500.0
2/19/2015,Thursday,4.79,3.307,2.811,496.0
2/20/2015,Friday,3.604,2.621,2.241,380.0
2/21/2015,Saturday,2.455,1.823,1.569,254.0
2/22/2015,Sunday,3.65,2.69,2.329,361.0
2/23/2015,Monday,5.463,3.975,3.433,542.0
2/24/2015,Tuesday,5.884,4.112,3.542,570.0
2/25/2015,Wednesday,5.615,4.019,3.432,587.0
2/26/2015,Thursday,5.289,3.747,3.186,561.0
2/27/2015,Friday,4.434,2.969,2.486,483.0
2/28/2015,Saturday,2.665,1.977,1.694,283.0
3/1/2015,Sunday,3.907,2.906,2.519,387.0
3/2/2015,Monday,5.308,3.778,3.222,556.0
3/3/2015,Tuesday,5.773,4.025,3.49,535.0
3/4/2015,Wednesday,5.585,4.06,3.457,603.0
3/5/2015,Thursday,4.783,3.582,3.049,533.0
3/6/2015,Friday,3.893,2.707,2.259,448.0
3/7/2015,Saturday,2.917,2.048,1.723,325.0
3/8/2015,Sunday,3.353,2.468,2.104,364.0
3/9/2015,Monday,5.4,3.824,3.246,578.0
3/10/2015,Tuesday,5.395,3.926,3.35,576.0
3/11/2015,Wednesday,5.229,3.859,3.263,596.0
3/12/2015,Thursday,5.371,3.784,3.204,580.0
3/13/2015,Friday,4.185,3.045,2.559,486.0
3/14/2015,Saturday,2.724,1.988,1.675,313.0
3/15/2015,Sunday,3.59,2.62,2.196,424.0
3/16/2015,Monday,5.367,3.771,3.192,579.0
3/17/2015,Tuesday,5.44,3.968,3.387,581.0
3/18/2015,Wednesday,5.465,4.043,3.458,585.0
3/19/2015,Thursday,5.318,3.813,3.262,551.0
3/20/2015,Friday,4.225,2.916,2.462,454.0
3/21/2015,Saturday,2.687,1.975,1.667,308.0
3/22/2015,Sunday,3.791,2.786,2.388,398.0
3/23/2015,Monday,5.661,3.949,3.331,618.0
3/24/2015,Tuesday,5.759,4.081,3.487,594.0
3/25/2015,Wednesday,5.599,3.983,3.378,605.0
3/26/2015,Thursday,5.103,3.755,3.184,571.0
3/27/2015,Friday,4.313,2.946,2.446,500.0
3/28/2015,Saturday,2.971,2.011,1.651,360.0
3/29/2015,Sunday,3.662,2.693,2.285,408.0
3/30/2015,Monday,5.635,3.985,3.386,599.0
3/31/2015,Tuesday,5.581,3.963,3.359,604.0
4/1/2015,Wednesday,5.329,3.761,3.17,591.0
4/2/2015,Thursday,4.553,3.214,2.71,504.0
4/3/2015,Friday,3.423,2.404,1.988,416.0
4/4/2015,Saturday,2.708,1.807,1.512,295.0
4/5/2015,Sunday,3.306,2.266,1.895,371.0
4/6/2015,Monday,5.203,3.692,3.133,559.0
4/7/2015,Tuesday,5.712,4.104,3.456,648.0
4/8/2015,Wednesday,5.601,4.015,3.401,614.0
4/9/2015,Thursday,5.486,4.063,3.43,633.0
4/10/2015,Friday,4.178,3.213,2.697,516.0
4/11/2015,Saturday,2.878,2.153,1.835,318.0
4/12/2015,Sunday,4.169,2.903,2.447,456.0
4/13/2015,Monday,6.372,4.485,3.787,698.0
4/14/2015,Tuesday,6.24,4.391,3.698,693.0
4/15/2015,Wednesday,6.17,4.409,3.723,686.0
4/16/2015,Thursday,6.071,4.275,3.586,689.0
4/17/2015,Friday,4.682,3.307,2.741,566.0
4/18/2015,Saturday,3.208,2.291,1.894,397.0
4/19/2015,Sunday,4.31,3.144,2.669,475.0
4/20/2015,Monday,6.435,4.694,3.929,765.0
4/21/2015,Tuesday,6.299,4.455,3.769,686.0
4/22/2015,Wednesday,6.36,4.512,3.797,715.0
4/23/2015,Thursday,6.349,4.36,3.664,696.0
4/24/2015,Friday,4.66,3.387,2.845,542.0
4/25/2015,Saturday,3.354,2.42,2.035,385.0
4/26/2015,Sunday,4.371,3.189,2.688,501.0
4/27/2015,Monday,6.534,4.731,3.977,754.0
4/28/2015,Tuesday,6.832,4.941,4.161,780.0
4/29/2015,Wednesday,6.689,4.87,4.11,760.0
4/30/2015,Thursday,5.849,4.086,3.45,636.0
5/1/2015,Friday,4.247,3.064,2.562,502.0
5/2/2015,Saturday,3.219,2.36,1.958,402.0
5/3/2015,Sunday,4.211,3.21,2.765,445.0
5/4/2015,Monday,6.424,4.752,4.043,709.0
5/5/2015,Tuesday,6.223,4.52,3.818,702.0
5/6/2015,Wednesday,6.551,4.768,4.059,709.0
5/7/2015,Thursday,6.343,4.449,3.77,679.0
5/8/2015,Friday,4.696,3.366,2.824,542.0
5/9/2015,Saturday,3.134,2.239,1.846,393.0
5/10/2015,Sunday,3.868,2.844,2.365,479.0
5/11/2015,Monday,6.02,4.482,3.787,695.0
5/12/2015,Tuesday,5.705,4.16,3.49,670.0
5/13/2015,Wednesday,5.752,4.016,3.348,668.0
5/14/2015,Thursday,5.181,3.605,3.008,597.0
5/15/2015,Friday,4.269,2.913,2.404,509.0
5/16/2015,Saturday,2.633,1.818,1.473,345.0
5/17/2015,Sunday,3.336,2.376,1.988,388.0
5/18/2015,Monday,5.127,3.587,2.955,632.0
5/19/2015,Tuesday,5.449,3.767,3.149,618.0
5/20/2015,Wednesday,5.746,3.956,3.371,585.0
5/21/2015,Thursday,5.115,3.642,3.046,596.0
5/22/2015,Friday,3.995,2.749,2.243,506.0
5/23/2015,Saturday,2.618,1.884,1.585,299.0
5/24/2015,Sunday,2.961,2.117,1.763,354.0
5/25/2015,Monday,4.09,2.913,2.427,486.0
5/26/2015,Tuesday,5.201,3.637,3.073,564.0
5/27/2015,Wednesday,5.321,3.797,3.146,651.0
5/28/2015,Thursday,5.219,3.509,2.887,622.0
5/29/2015,Friday,4.017,2.804,2.338,466.0
5/30/2015,Saturday,2.297,1.629,1.346,283.0
5/31/2015,Sunday,3.145,2.226,1.86,366.0
6/1/2015,Monday,4.905,3.419,2.797,622.0
6/2/2015,Tuesday,4.747,3.284,2.701,583.0
6/3/2015,Wednesday,4.591,3.317,2.713,604.0
6/4/2015,Thursday,4.431,3.173,2.652,521.0
6/5/2015,Friday,3.608,2.523,2.068,455.0
6/6/2015,Saturday,2.422,1.673,1.336,337.0
6/7/2015,Sunday,3.132,2.145,1.79,355.0
6/8/2015,Monday,4.962,3.377,2.788,589.0
